Episode,Season,Episode in Season,Name,Original air date,US viewers,Rating (18-49),Share (18-49),Rating (household),Share (household),Weekly rank
99,7,9,Shocking! Simply Shocking!,11/13/2003,22.1,8.3,22,,,
100,7,10,Swimming With Sharks,11/20/2003,19.9,7.0,20,,,
101,7,11,The Great Lie,11/26/2003,20.1,7.2,22,,,
102,7,12,Would You Be My Brutus Today?,12/4/2003,22.0,8.0,23,,,
103,7,13,Mutiny,12/11/2003,22.4,8.3,22,,,
104,7,14,Flames and Endurance,12/14/2003,25.2,9.7,22,,,
105,7,15,Reunion,12/14/2003,26.2,10.3,25,,,
106,8,1,They're Back!,2/1/2004,33.3,14.9,37,,,
107,8,2,"Panicked, Desperate, Thirsty as Hell",2/5/2004,23.1,8.9,22,,,
108,8,3,Shark Attack,2/12/2004,22.4,8.0,20,,,
109,8,4,Wipe Out!,2/19/2004,22.8,8.7,22,,,
110,8,5,I've Been Bamboozled!,2/26/2004,22.2,8.6,23,,,
111,8,6,Outraged,3/4/2004,23.2,8.7,23,,,
112,8,7,Sorry...I Blew It,3/11/2004,22.6,8.7,23,,,
113,8,8,Pick A Tribemate,3/17/2004,21.9,8.5,22,,,
114,8,9,A Closer Look (All Star Redux),3/24/2004,,,,,,
115,8,10,Mad Scramble and Broken Hearts,4/1/2004,21.7,8.3,23,,,
116,8,11,"Anger, Tears and Chaos",4/8/2004,20.8,7.9,24,,,
117,8,12,A Thoughtful Gesture or a Deceptive Plan,4/15/2004,20.8,7.5,21,,,
118,8,13,"Stupid People, Stupid, Stupid People",4/22/2004,21.0,7.6,22,,,
119,8,14,A Chapera Surprise,4/29/2004,20.8,7.5,21,,,
120,8,15,The Instigator,5/6/2004,19.2,7.2,20,,,
121,8,16,The Sole Surviving All-Star,5/9/2004,24.8,10.0,25,,,
122,8,17,Reunion,5/9/2004,28.4,12.8,29,,,
123,9,1,They Came at Us With Spears,9/16/2004,20.1,7.8,22,,,
124,9,2,"Burly Girls, Bowheads, Young Studs, and the Old Bunch",9/23/2004,19.1,7.5,22,,,
125,9,3,"Double Tribal, Double Trouble",9/30/2004,19.9,7.5,21,,,
126,9,4,Now That's a Reward!,10/7/2004,19.5,7.3,21,,,
127,9,5,Earthquakes and Shake-Ups!,10/14/2004,19.2,7.0,19,,,
128,9,6,Hog Tied,10/21/2004,19.2,7.3,20,,,
129,9,7,"Anger, Threats, Tears...and Coffee",10/28/2004,20.2,7.6,20,,,
130,9,8,Now the Battle Really Begins,11/4/2004,20.7,7.8,,,,
131,9,9,Gender Wars...It's Getting Ugly,11/11/2004,20.1,7.4,,,,
132,9,10,Culture Shock and Violent Storms,11/18/2004,20.7,7.7,,,,
133,9,11,Surprise and...Surprise Again!,11/25/2004,,,,,,
134,9,12,Now Who's in Charge Here?!,12/2/2004,19.7,7.3,,,,
135,9,13,Eruption of Volcanic Magnitude,12/9/2004,20.3,7.6,,,,
136,9,14,Spirits and the Final Four,12/12/2004,19.7,7.5,16,,,
137,9,15,Reunion,12/12/2004,,,,,,
138,10,1,This Has Never Happened Before!,2/17/2005,23.7,9.1,23,,,
139,10,2,"Love is in the Air, Rats Are Everywhere",2/24/2005,21.6,7.9,20,,,
140,10,3,Dangerous Creatures and Horrible Secks,3/3/2005,21.8,8.5,,,,
141,10,4,Sumo at Sea,3/10/2005,21.8,8.1,22,,,
142,10,5,The Best and Worst Reward Ever,3/16/2005,18.4,6.9,19,,,
143,10,6,Jellyfish 'N Chips,3/23/2005,19.2,7.3,19,,,
144,10,7,The Great White Shark Hunter,3/31/2005,20.9,7.7,21,,,
145,10,8,Neanderthal Man,4/7/2005,19.8,7.0,20,,,
146,10,9,I Will Not Give Up,4/14/2005,20.0,7.1,,,,
147,10,10,Exile Island,4/21/2005,18.7,6.4,,,,
148,10,11,I'll Show You How Threatening I Am,4/28/2005,,,,,,
149,10,12,We'll Make You Pay,5/5/2005,20.1,7.1,21,,,
150,10,13,It Could All Backfire,5/12/2005,19.3,6.9,,,,
151,10,14,The Ultimate Shock,5/15/2005,20.8,7.8,18,,,
152,10,15,Reunion,5/15/2005,21.7,8.3,18,,,
153,11,1,"Big Trek, Big Trouble, Big Surprise",9/15/2005,18.4,6.6,19,,,
154,11,2,Man Down,9/22/2005,17.0,6.1,17,,,
155,11,3,"The Brave May Not Live Long, but the Cautious Don't Live at All",9/29/2005,17.3,5.7,16,,,
156,11,4,"To Betray, or Not to Betray",10/6/2005,17.9,6.3,17,,,
157,11,5,"Crocs, Cowboys and City Slickers",10/13/2005,17.9,6.5,18,,,
158,11,6,"Big Balls, Big Mouth, Big Trouble",10/20/2005,17.8,6.1,17,,,
159,11,7,Surprise Enemy Visit,10/27/2005,17.4,6.2,17,,,
160,11,8,The Hidden Immunity Idol,11/3/2005,18.3,6.6,17,,,
161,11,9,Secret and Lies and an Idol Surprise,11/10/2005,19.0,6.9,19,,,
162,11,10,Eating and Sleeping With the Enemy,11/17/2005,18.8,6.4,17,,,
163,11,11,Everything Is Personal,11/24/2005,19.5,6.6,20,,,
164,11,12,Price for Immunity,12/1/2005,19.8,7.0,21,,,
165,11,13,"Big Win, Big Decision, Big Mistake?",12/8/2005,20.2,7.1,19,,,
166,11,14,Thunder Storms & Sacrifice,12/11/2005,21.2,7.7,17,,,
167,11,15,The Reunion,12/11/2005,15.2,5.7,14,,,
168,12,1,The First Exile,2/2/2006,19.2,7.0,18,,,
169,12,2,Breakdown,2/9/2006,18.8,6.6,17,,,
170,12,3,"Crazy Fights, Snake Dinners",2/16/2006,17.0,6.3,16,,,
171,12,4,Starvation and Lunacy,2/23/2006,14.9,5.5,14,,,
172,12,5,For Cod's Sake!!!,3/2/2006,16.1,5.5,14,,,
173,12,6,Salvation and Desertion,3/9/2006,15.3,5.4,14,,,
174,12,7,A Closer Look,3/15/2006,,,,,,
175,12,8,An Emerging Plan,3/30/2006,16.3,5.8,17,,,
176,12,9,The Power of the Idol,4/6/2006,16.4,5.6,17,,,
177,12,10,Fight for Your Life or Eat,4/13/2006,15.1,5.2,17,,,
178,12,11,Medical Emergency,4/20/2006,16.3,5.5,18,,,
179,12,12,Perilous Scramble,4/27/2006,17.1,5.9,18,,,
180,12,13,Bamboozled,5/4/2006,17.0,5.9,18,,,
181,12,14,Call the Whambulence!,5/11/2006,17.2,5.8,18,,,
182,12,15,The Final Showdown,5/14/2006,17.1,6.2,15,,,
183,12,16,Reunion,5/14/2006,,,,,,
184,13,1,I Can Forgive Her But I Don't Have To Because She Screwed With My Chickens,9/14/2006,18.0,6.5,20,,,
185,13,2,Dire Strengths and Dead Weight,9/21/2006,17.4,6.5,18,,,
186,13,3,Flirting and Frustration,9/28/2006,16.9,5.9,16,,,
187,13,4,Ruling the Roost,10/5/2006,15.8,5.6,16,,,
188,13,5,Don't Cry Over Spilled Octopus,10/12/2006,15.8,5.5,15,,,
189,13,6,Plan Voodoo,10/19/2006,15.0,5.3,14,,,
190,13,7,A Closer Look,10/26/2006,15.3,5.4,14,,,
191,13,8,Why Aren't You Swimming?!,11/2/2006,15.3,5.4,14,,,
192,13,9,Mutiny,11/9/2006,14.4,4.8,13,,,
193,13,10,People That You Like Want To See You Suffer,11/16/2006,15.4,5.3,14,,,
194,13,11,Why Would You Trust Me?,11/23/2006,12.7,4.3,13,,,
195,13,12,You're a Rat...,11/30/2006,15.6,5.4,14,,,
196,13,13,Arranging a Hit,12/7/2006,15.7,5.3,15,,,
197,13,14,I Have the Advantage...For Once,12/14/2006,14.6,5.0,14,,,
198,13,15,"This Tribe Will Self-Destruct in 5, 4, 3...",12/17/2006,16.4,5.7,14,,,
199,13,16,Reunion,12/17/2006,,,,,,
200,14,1,Something Cruel Is About to Happen...Real Soon,2/8/2007,16.4,5.7,15,,,
201,14,2,Snakes Are Misunderstood...We Have an Understanding Now,2/15/2007,16.1,5.6,15,,,
202,14,3,This Is Not Survival...It's Thrival,2/22/2007,13.5,4.6,12,,,
203,14,4,Let's Just Call Jeff on the Jeff Phone,3/1/2007,14.7,5.0,13,,,
204,14,5,"Love Many, Trust Few, Do Wrong to None",3/8/2007,13.8,4.6,12,,,
205,14,6,I've Got Strength Now to Carry the Flag,3/21/2007,12.8,4.2,12,,,
206,14,7,An Evil Thought,3/29/2007,13.7,4.5,14,,,
207,14,8,So You Think You Can Meke?,4/5/2007,13.6,4.3,13,,,
208,14,9,Are We Gonna Live on Exile Island?!,4/12/2007,14.3,4.5,13,,,
209,14,10,It's a Turtle?!,4/19/2007,13.3,4.5,13,,,
210,14,11,Blackmail or Betrayal,4/26/2007,13.8,4.6,14,,,
211,14,12,"A Smile, Velvet Gloves and a Dagger in My Pocket",5/3/2007,13.7,4.6,14,,,
212,14,13,I Wanna See If I Can Make a Deal,5/10/2007,13.8,4.4,14,,,
213,14,14,You've Got That Puzzled Look,5/13/2007,13.6,4.6,13,,,
214,14,15,Reunion,5/13/2007,,,,,,
215,15,1,A Chicken's a Little Bit Smarter,9/20/2007,15.4,9.0,15,,,
216,15,2,My Mom Is Going to Kill Me!,9/27/2007,14.2,8.3,14,,,
217,15,3,I Lost Two Hands and Possibly a Shoulder,10/4/2007,14.1,8.5,14,,,
218,15,4,Ride the Workhorse Till the Tail Falls Off,10/11/2007,14.2,8.6,14,,,
219,15,5,Love Is In the Air,10/18/2007,14.0,8.5,13,,,
220,15,6,"That's Love, Baby! Make You Strong!",10/25/2007,14.2,8.5,14,,,
221,15,7,I'm Not As Dumb As I Look,11/1/2007,14.4,8.5,14,,,
222,15,8,High School Friend Contest,11/8/2007,14.9,8.7,14,,,
223,15,9,Just Don't Eat the Apple,11/15/2007,14.7,8.9,14,,,
224,15,10,It’s Been Real and It's Been Fun,11/22/2007,,,,,,
225,15,11,Ready to Bite the Apple,11/29/2007,13.6,8.3,13,,,
226,15,12,Going for the Oscar,12/6/2007,14.1,8.2,13,,,
227,15,13,"Hello, I'm Still a Person",12/13/2007,13.9,8.7,14,,,
228,15,14,A Slippery Little Sucker,12/16/2007,15.2,8.5,13,,,
229,15,15,Reunion,12/16/2007,,,,,,
230,16,1,You Guys Are Dumber Than You Look,2/7/2008,14.0,4.8,13,8.1,13,8
231,16,2,The Sounds of Jungle Love,2/14/2008,13.1,4.5,13,7.6,12,6
232,16,3,I Should Be Carried on the Chariot-Type Thing!,2/21/2008,12.6,4.0,10,7.3,11,8
233,16,4,"That's Baked, Barbecued and Fried!",2/28/2008,12.5,4.2,11,7.5,12,10
234,16,5,He's a Ball of Goo!,3/6/2008,12.1,4.0,10,7.3,11,8
235,16,6,It Hit Everyone Pretty Hard,3/13/2008,13.1,4.2,13,7.9,13,3
236,16,7,Like a Wide-Eyed Kid in the Candy Store,3/19/2008,11.3,3.7,10,6.7,11,6
237,16,8,A Lost Puppy Dog,4/3/2008,12.8,3.8,9,7.5,12,11
238,16,9,I'm in Such a Hot Pickle!,4/10/2008,11.7,3.8,11,6.9,11,17
239,16,10,I Promise...,4/17/2008,12.1,3.8,12,7.4,13,11
240,16,11,I'm Ruthless... and Have a Smile on My Face,4/24/2008,13.0,4.2,13,7.9,13,12
241,16,12,I'm Gonna Fix Her!,5/1/2008,12.5,4.0,12,7.7,13,14
242,16,13,"If It Smells Like a Rat, Give It Cheese",5/8/2008,12.0,4.1,12,7.7,13,9
243,16,14,Stir the Pot!,5/11/2008,12.9,4.4,12,7.2,12,11
244,16,15,The Reunion,5/11/2008,10.8,3.9,10,6.0,10,12
245,17,1,Want to See the Elephant Dung?,9/25/2008,13.1,4.4,11,7.7,12,13
246,17,2,She Obviously Is Post-Op!,10/2/2008,13.1,4.3,12,7.7,12,12
247,17,3,It Was Like Christmas Morning!,10/9/2008,13.3,4.3,12,7.7,12,12
248,17,4,This Camp Is Cursed,10/16/2008,12.8,4.2,12,7.8,13,12
249,17,5,"He's a Snake, But He's My Snake",10/23/2008,13.3,4.4,12,7.8,12,14
250,17,6,It All Depends On the Pin-Up Girl,10/30/2008,13.0,4.1,12,7.7,13,15
251,17,7,Apple in the Garden of Eden,11/6/2008,12.0,3.8,10,7.2,11,15
252,17,8,The Brains Behind Everything,11/13/2008,12.9,4.1,11,7.6,12,15
253,17,9,Nothing Tastes Better Than Five Hundred Dollars,11/20/2008,12.5,4.0,11,7.5,12,14
254,17,10,I Was Put On The Planet For This Show,11/27/2008,8.3,2.3,7,4.9,10,
255,17,11,The Good Things in Life Aren’t Easy,12/4/2008,12.7,4.0,11,7.5,12,11
256,17,12,The Good Guys Should Win in the End,12/11/2008,13.1,4.1,11,7.7,12,14
257,17,13,Say Goodbye to Gabon,12/14/2008,13.8,,,7.8,12,9
258,17,14,Reunion,12/14/2008,11.7,,,7.0,12,15
259,18,1,Let's Get Rid of the Weak Players Before We Even Start,2/12/2009,13.6,4.5,13,8.0,13,12
260,18,2,The Poison Apple Needs to Go,2/19/2009,13.6,4.5,12,7.8,12,11
261,18,3,Mama Said There'd Be Days Like This,2/26/2009,12.1,4.0,11,6.9,11,11
262,18,4,The Strongest Man Alive,3/5/2009,11.9,3.9,10,7.0,11,15
263,18,5,You're Going to Want that Tooth,3/12/2009,12.8,4.1,12,7.3,12,15
264,18,6,The First Fifteen Days,3/26/2009,8.2,2.3,6,5.0,8,
265,18,7,"One of Those 'Coach Moments'""""",4/2/2009,11.3,3.6,11,6.5,11,17
266,18,8,The Dragon Slayer,4/9/2009,11.2,3.5,11,6.6,12,16
267,18,9,The Biggest Fraud in the Game,4/16/2009,11.6,3.5,11,6.8,12,15
268,18,10,It's Funny When People Cry,4/23/2009,11.3,3.2,11,6.8,12,12
269,18,11,They Both Went Bananas,4/30/2009,11.7,3.6,11,7.0,12,17
270,18,12,The Ultimate Sacrifice,5/7/2009,12.0,3.8,12,7.0,12,15
271,18,13,The Martyr Approach,5/14/2009,12.2,3.8,11,7.0,12,18
272,18,14,I Trust You But I Trust Me More,5/17/2009,12.9,4.2,,7.0,11,14
273,18,15,Reunion,5/17/2009,11.6,4.1,,6.4,11,20
274,19,1,The Puppet Master,9/17/2009,11.7,3.6,11,6.8,11,12
275,19,2,Taking Candy From a Baby,9/24/2009,11.7,3.7,11,6.7,11,22
276,19,3,It's Called a Russell Seed,10/1/2009,11.5,3.7,11,6.9,11,22
277,19,4,Hungry for a Win,10/8/2009,11.7,3.4,10,7.0,11,19
278,19,5,Walking on Thin Ice,10/15/2009,11.8,3.5,10,7.1,11,19
279,19,6,This Is the Man Test,10/22/2009,12.9,4.0,11,7.7,12,17
280,19,7,Houdini Magic,10/29/2009,12.2,3.7,10,6.9,11,15
281,19,8,All Hell Breaks Loose,11/5/2009,12.4,3.7,10,7.3,11,20
282,19,9,Tastes Like Chicken,11/12/2009,12.9,4.0,11,7.5,12,18
283,19,10,The Day of Reckoning,11/19/2009,12.3,3.8,11,7.2,11,19
284,19,11,The First 27 Days,11/26/2009,9.9,3.1,,5.3,11,23
285,19,12,Off With Their Heads!,12/3/2009,12.8,3.9,11,7.5,12,7
286,19,13,Damage Control,12/10/2009,13.3,4.2,12,7.6,12,11
287,19,14,Two Brains Are Better Than One,12/17/2009,12.5,3.9,12,7.3,12,16
288,19,15,This Game Ain't Over,12/20/2009,14.0,4.4,11,7.6,12,12
289,19,16,Reunion,12/20/2009,11.7,3.8,10,6.4,11,17
290,20,1,"Slay Everyone, Trust No One",2/11/2010,14.2,4.5,12,8.1,13,14
291,20,2,It's Getting the Best of Me,2/18/2010,11.9,3.9,11,6.9,11,11
292,20,3,That Girl is Like a Virus,2/25/2010,11.6,3.7,10,6.7,10,14
293,20,4,"Tonight, We Make Our Move",3/4/2010,12.7,3.8,11,7.2,12,17
294,20,5,Knights of the Round Table,3/4/2010,12.2,3.6,11,7.0,11,14
295,20,6,Banana Etiquette,3/24/2010,11.2,3.4,11,6.6,11,15
296,20,7,I'm Not a Good Villain,4/1/2010,11.3,3.5,13,6.7,12,11
297,20,8,Expectations,4/8/2010,12.4,3.8,12,7.3,12,13
298,20,9,Survivor History,4/15/2010,12.3,3.8,12,7.1,13,12
299,20,10,Going Down in Flames,4/22/2010,11.9,3.6,11,7.0,12,8
300,20,11,Jumping Ship,4/29/2010,12.7,4.1,13,7.6,13,9
301,20,12,A Sinking Ship,5/6/2010,13.1,4.1,14,7.7,14,8
302,20,13,Loose Lips Sink Ships,5/13/2010,13.3,4.1,13,7.7,13,11
303,20,14,Anything Could Happen,5/16/2010,13.5,,,7.2,12,9
304,20,15,The Reunion,5/16/2010,10.7,,,5.9,10,22
305,21,1,"""Young at Heart""",9/15/2010,12.2,4.0,13,6.8,12,7
306,21,2,"""Fatigue Makes Cowards of Us All""",9/22/2010,12.6,4.0,12,7.0,12,19
307,21,3,"""Glitter in Their Eyes""",9/29/2010,12.3,3.5,11,7.1,12,18
308,21,4,"""Pulling the Trigger""",10/6/2010,12.1,3.8,11,7.0,12,19
309,21,5,"""Turf Wars""",10/13/2010,12.3,3.8,11,6.9,11,15
310,21,6,"""Worst Case Scenario""",10/20/2010,12.3,3.6,11,7.0,12,14
311,21,7,"""What Goes Around, Comes Around""",10/27/2010,11.8,3.5,10,6.6,11,19
312,21,8,"""Company Will Be Arriving Soon""",11/3/2010,12.3,3.7,11,7.0,11,13
313,21,9,"""Running the Camp""",11/10/2010,11.3,3.2,10,6.4,10,19
314,21,10,"""Stuck in the Middle""",11/17/2010,12.0,3.5,10,6.9,11,17
315,21,11,"""We Did It Guys""",11/24/2010,8.0,2.0,7,4.7,8,24
316,21,12,"""You Started, You're Finishing""",12/1/2010,12.3,3.6,11,7.0,11,6
317,21,13,"""Not Sure Where I Stand""",12/8/2010,12.1,3.6,10,6.8,11,10
318,21,14,"""This is Going to Hurt""",12/15/2010,12.3,3.5,11,7.0,12,10
319,21,15,"""What About Me?""",12/19/2010,13.6,4.1,10,7.3,12,8
320,21,16,"""Reunion""",12/19/2010,11.2,3.0,8,6.1,11,14
321,22,1,"""You're Looking at the New Leader of Your Tribe""",2/16/2011,11.2,3.2,9,6.2,10,15
322,22,2,"""You Own My Vote""",2/23/2011,10.9,3.1,9,6.2,10,17
323,22,3,"""Keep Hope Alive""",3/2/2011,11.3,3.3,10,6.3,10,14
324,22,4,"""Don't You Work for Me?""",3/9/2011,11.0,3.2,9,6.3,10,14
325,22,5,"""We Hate Our Tribe""",3/16/2011,10.7,3.2,10,6.0,10,13
326,22,6,"""Their Red-Headed Step Child""",3/23/2011,11.0,3.1,9,6.3,10,11
327,22,7,"""It Don't Take a Smart One""",3/30/2011,11.0,3.1,9,6.3,10,18
328,22,8,"""This Game Respects Big Moves""",4/6/2011,10.9,3.2,10,6.3,10,17
329,22,9,"""The Buddy System""",4/13/2011,11.1,3.1,9,6.6,11,10
330,22,10,"""Rice Wars""",4/20/2011,11.0,3.1,9,6.3,10,10
331,22,11,"""A Mystery Package""",4/27/2011,11.3,3.2,9,6.4,10,9
332,22,12,"""You Mangled My Nets""",5/4/2011,11.0,3.1,9,6.4,10,13
333,22,13,"""Too Close For Comfort""",5/11/2011,10.8,3.1,9,6.3,10,18
334,22,14,"""Seems Like a No Brainer""",5/15/2011,13.3,4.0,10,7.1,11,8
335,22,15,"""Reunion""",5/15/2011,11.0,3.5,8,5.9,9,16
336,23,1,"""I Need Redemption""",9/14/2011,10.7,3.4,10,6.4,10,9
337,23,2,"""He Has Demons""",9/21/2011,10.5,3.2,9,6.3,10,
338,23,3,"""Reap What You Sow""",9/28/2011,10.7,3.2,9,6.4,10,25
339,23,4,"""Survivalism""",10/5/2011,10.7,3.1,9,6.3,10,24
340,23,5,"""Taste the Victory""",10/12/2011,10.7,3.2,9,6.6,11,23
341,23,6,"""Free Agent""",10/19/2011,11.2,3.3,9,6.7,11,23
342,23,7,"""Trojan Horse""",10/26/2011,11.8,3.5,10,7.1,11,17
343,23,8,"""Double Agent""",11/2/2011,12.0,3.6,10,7.0,11,18
344,23,9,"""Cut Throat""",11/9/2011,10.8,3.2,9,6.5,10,22
345,23,10,"""Running the Show""",11/16/2011,11.7,3.3,9,7.0,11,20
346,23,11,"""A Closer Look""",11/23/2011,8.0,1.9,6,4.6,8,
347,23,12,"""Cult Like""",11/30/2011,11.1,3.1,9,6.6,10,9
348,23,13,"""Ticking Time Bomb""",12/7/2011,11.6,3.3,9,6.8,11,16
349,23,14,"""Then There Were Five""",12/14/2011,10.9,3.1,9,6.5,11,16
350,23,15,"""Loyalties Will Be Broken""",12/18/2011,13.1,4.0,10,7.3,11,7
351,23,16,"""Reunion""",12/18/2011,9.9,3.0,8,5.8,11,20
352,24,1,"""Two Tribes, One Camp, No Rules""",2/15/2012,10.8,3.1,9,6.3,10,17
353,24,2,"""Total Dysfunction""",2/22/2012,10.3,2.8,8,6.0,10,23
354,24,3,"""One World is Out the Window""",2/29/2012,10.7,2.9,8,6.2,10,17
355,24,4,"""Bum-Puzzled""",3/7/2012,10.8,3.2,9,6.3,10,12
356,24,5,"""A Bunch of Idiots""",3/14/2012,10.6,3.0,9,6.2,11,11
357,24,6,"""Thanks for the Souvenir""",3/21/2012,10.5,2.8,9,6.2,10,15
358,24,7,"""The Beauty in a Merge""",3/28/2012,10.0,2.9,9,5.9,10,19
