Name,Age,Hometown,Season,Finish,Tribal Challenge Wins,Individual Challenge Wins,Total Wins,Days Lasted,Votes Against,Profile Link,Photo Link
Linda Spencer,44,"Boston, MA",Africa,13th,4,N/A,4,12,4,Linda Spencer,
Silas Gaither,23,"Los Angeles, CA",Africa,12th,5,N/A,5,15,8,Silas Gaither,
Lindsey Richter,26,"Portland, OR",Africa,11th,6,N/A,6,18,12,Lindsey Richter,
Clarence Black,24,"Detroit, MI",Africa,10th,5,0,5,21,12,Clarence Black,
Kelly Goldsmith,22,"San Diego, CA",Africa,9th,5,0,5,24,5,Kelly Goldsmith,
Brandon Quinton,25,"Dallas, TX",Africa,8th,6,1,7,27,6,Brandon Quinton,
Frank Garrison,43,"Odessa, NY",Africa,7th,6,1,7,30,9,Frank Garrison,
Kim Powers,29,"Conshohocken, PA",Africa,6th,6,0,6,33,4,Kim Powers,
Teresa Cooper,42,"Jackson, GA",Africa,5th,6,1,7,36,4,Teresa Cooper,
Tom Buchanan,45,"Rich Valley, VA",Africa,4th,5,1,6,37,9,Tom Buchanan,
Lex van den Berghe,38,"Santa Cruz, CA",Africa,3rd,5,5,10,38,10,Lex van den Berghe,
Kim Johnson,56,"Oyster Bay, NY",Africa,Runner-Up,5,2,7,39,1,Kim Johnson,
Ethan Zohn,27,"New York City, NY",Africa,Sole Survivor,5,2,7,39,0,Ethan Zohn,
Peter Harkey,45,"Millis, MA",Marquesas,16th,0,N/A,0,3,5,Peter Harkey,
Patricia Jackson,49,"Lugoff, SC",Marquesas,15th,0,N/A,0,6,5,Patricia Jackson,
Hunter Ellis,33,"La Jolla, CA",Marquesas,14th,0,N/A,0,9,4,Hunter Ellis,
Sarah Jones,24,"Newport Beach, CA",Marquesas,13th,0,N/A,0,12,11,Sarah Jones,
Gabriel Cade,23,"Los Angeles, CA",Marquesas,12th,6,N/A,6,15,7,Gabriel Cade,
Gina Crews,28,"Gainesville, FL",Marquesas,11th,3,N/A,3,18,3,Gina Crews,
Rob Mariano,25,"Canton, MA",Marquesas,10th,2,0,2,21,8,Rob Mariano,
John Carroll,36,"Omaha, NE",Marquesas,9th,7,0,7,24,8,John Carroll,
Zoe Zanidakis,35,"Monhegan Island, ME",Marquesas,8th,7,0,7,27,8,Zoe Zanidakis,
Tammy Leitner,29,"Mesa, AZ",Marquesas,7th,7,2,9,30,5,Tammy Leitner,
Robert DeCanio,38,"College Point, NY",Marquesas,6th,7,1,8,33,6,Robert DeCanio,
Sean Rector,30,"Los Angeles, CA",Marquesas,5th,2,2,4,36,7,Sean Rector,
Paschal English,56,"Thomaston, GA",Marquesas,4th,8,2,10,37,0,Paschal English,
Kathy Vavrick-O'Brien,47,"Burlington, VT",Marquesas,3rd,8,4,12,38,5,Kathy Vavrick-O'Brien,
Neleh Dennis,21,"Layton, UT",Marquesas,Runner-Up,8,1,9,39,4,Neleh Dennis,
Vecepia Towery,36,"Hayward, CA",Marquesas,Sole Survivor,2,2,4,39,2,Vecepia Towery,
John Raymond,40,"Slidell, LA",Thailand,16th,0,N/A,0,3,6,John Raymond,
Tanya Vance,27,"Gray, TN",Thailand,15th,0,N/A,0,6,5,Tanya Vance,
Jed Hildebrand,25,"Dallas, TX",Thailand,14th,3,N/A,3,9,5,Jed Hildebrand,
Ghandia Johnson,33,"Denver, CO",Thailand,13th,2,N/A,2,12,5,Ghandia Johnson,
Stephanie Dill,29,"Fayetteville, AR",Thailand,12th,5,N/A,5,15,5,Stephanie Dill,
Robb Zbacnik,23,"Scottsdale, AZ",Thailand,11th,6,N/A,6,18,5,Robb Zbacnik,
Shii Ann Huang,28,"New York City, NY",Thailand,10th,6,N/A,6,21,10,Shii Ann Huang,
Erin Collins,26,"Austin, TX",Thailand,9th,6,N/A,6,24,3,Erin Collins,
Ken Stafford,30,"Brooklyn, NY",Thailand,8th,6,0,6,27,6,Ken Stafford,
Penny Ramsey,27,"Plano, TX",Thailand,7th,6,0,6,30,5,Penny Ramsey,
Jake Billingsley,60,"McKinney, TX",Thailand,6th,6,0,6,33,7,Jake Billingsley,
"Ted Rogers, Jr.",37,"Durham, NC",Thailand,5th,6,2,8,36,7,"Ted Rogers, Jr.",
Helen Glover,47,"Middletown, RI",Thailand,4th,6,2,8,37,5,Helen Glover,
Jan Gentry,53,"Tampa, FL",Thailand,3rd,6,0,6,38,5,Jan Gentry,
Clay Jordan,46,"Monroe, LA",Thailand,Runner-Up,6,1,7,39,3,Clay Jordan,
Brian Heidik,34,"Quartz Hill, CA",Thailand,Sole Survivor,6,5,11,39,0,Brian Heidik,
Ryan Aiken,23,"Ellicott City, MD",The Amazon,16th,0,N/A,0,3,4,Ryan Aiken,
Janet Koth,46,"Manchester, MO",The Amazon,15th,2,N/A,2,6,5,Janet Koth,
Daniel Lue,26,"Houston, TX",The Amazon,14th,1,N/A,1,9,7,Daniel Lue,
JoAnna Ward,31,"Orangeburg, SC",The Amazon,13th,4,N/A,4,12,4,JoAnna Ward,
Jeanne Hebert,40,"North Attleboro, MA",The Amazon,12th,4,N/A,4,15,5,Jeanne Hebert,
Shawna Mitchell,23,"Los Angeles, CA",The Amazon,11th,5,N/A,5,18,6,Shawna Mitchell,
Roger Sexton,56,"Valencia, CA",The Amazon,10th,5,0,5,21,11,Roger Sexton,
Dave Johnson,23,"Pasadena, CA",The Amazon,9th,5,1,6,24,8,Dave Johnson,
Deena Bennett,35,"Riverside, CA",The Amazon,8th,5,1,6,27,6,Deena Bennett,
Alex Bell,32,"Los Angeles, CA",The Amazon,7th,4,1,5,30,6,Alex Bell,
Christy Smith,24,"Basalt, CO",The Amazon,6th,6,0,6,33,9,Christy Smith,
Heidi Strobel,24,"Jefferson City, MO",The Amazon,5th,6,0,6,36,3,Heidi Strobel,
Butch Lockley,50,"Olney, IL",The Amazon,4th,5,0,5,37,5,Butch Lockley,
Rob Cesternino,24,"Wantagh, NY",The Amazon,3rd,4,1,5,38,4,Rob Cesternino,
Matthew von Ertfelda,33,"Washington, D.C.",The Amazon,Runner-Up,4,4,8,39,6,Matthew von Ertfelda,
Jenna Morasca,21,"Bridgeville, PA",The Amazon,Sole Survivor,5,4,9,39,3,Jenna Morasca,
Nicole Delma,24,"Hermosa Beach, CA",Pearl Islands,16th,1,N/A,1,4,7,Nicole Delma,
Ryan Shoulders,23,"Clarksville, TN",Pearl Islands,15th,1,N/A,1,7,6,Ryan Shoulders,
Michelle Tesauro,22,"Washington, D.C.",Pearl Islands,14th,7,N/A,7,16,6,Michelle Tesauro,
Trish Dunn,42,"Annapolis, MD",Pearl Islands,13th,8,N/A,8,19,4,Trish Dunn,
Shawn Cohen,28,"Los Angeles, CA",Pearl Islands,12th,7,N/A,7,19,5,Shawn Cohen,
Osten Taylor,27,"Boston, MA",Pearl Islands,11th,4,N/A,4,19,2,Osten Taylor,
Andrew Savage,39,"Chicago, IL",Pearl Islands,10th,4,0,4,21,6,Andrew Savage,
Ryan Opray,30,"Los Gatos, CA",Pearl Islands,9th,4,1,5,24,8,Ryan Opray,
Rupert Boneham,39,"Indianapolis, IN",Pearl Islands,8th,7,3,10,27,7,Rupert Boneham,
Tijuana Bradley,26,"St. Louis, MO",Pearl Islands,7th,4,1,5,30,5,Tijuana Bradley,
Christa Hastie,24,"Los Angeles, CA",Pearl Islands,6th,7,1,8,33,7,Christa Hastie,
Burton Roberts,31,"San Francisco, CA",Pearl Islands,5th,7,5,12,30,10,Burton Roberts,
Darrah Johnson,22,"Liberty, MS",Pearl Islands,4th,4,4,8,37,6,Darrah Johnson,
Jon Dalton,29,"Los Angeles, CA",Pearl Islands,3rd,7,2,9,38,7,Jon Dalton,
Lillian Morris,51,"Loveland, OH",Pearl Islands,Runner-Up,1,3,4,30,10,Lillian Morris,
Sandra Diaz-Twine,29,"Fort Lewis, WA",Pearl Islands,Sole Survivor,7,0,7,39,0,Sandra Diaz-Twine,
Tina Wesson,42,"Knoxville, TN",All-Stars,18th,0,N/A,0,3,4,Tina Wesson,
Rudy Boesch,75,"Virginia Beach, VA",All-Stars,17th,1,N/A,1,6,3,Rudy Boesch,
Jenna Morasca,22,"Bridgeville, PA",All-Stars,16th,3,N/A,3,9,N/A,Jenna Morasca,
Rob Cesternino,25,"Plainview, NY",All-Stars,15th,4,N/A,4,12,5,Rob Cesternino,
Richard Hatch,42,"Middletown, RI",All-Stars,14th,5,N/A,5,15,6,Richard Hatch,
Susan Hawk,42,"Las Vegas, NV",All-Stars,13th,6,N/A,6,17,0,Susan Hawk,
Colby Donaldson,29,"Dallas, TX",All-Stars,12th,6,N/A,6,19,4,Colby Donaldson,
Ethan Zohn,30,"New York City, NY",All-Stars,11th,4,N/A,4,21,6,Ethan Zohn,
Jerri Manthey,33,"Los Angeles, CA",All-Stars,10th,4,N/A,4,24,7,Jerri Manthey,
Lex van den Berghe,40,"Santa Cruz, CA",All-Stars,9th,6,0,6,27,7,Lex van den Berghe,
Kathy Vavrick-O'Brien,49,"Burlington, VT",All-Stars,8th,6,1,7,28,6,Kathy Vavrick-O'Brien,
Alicia Calaway,35,"New York City, NY",All-Stars,7th,11,1,12,30,7,Alicia Calaway,
Shii Ann Huang,29,"New York City, NY",All-Stars,6th,6,2,8,33,5,Shii Ann Huang,
Tom Buchanan,48,"Rich Valley, VA",All-Stars,5th,10,2,12,36,4,Tom Buchanan,
Rupert Boneham,39,"Indianapolis, IN",All-Stars,4th,8,2,10,37,4,Rupert Boneham,
Jenna Lewis,26,"Burbank, CA",All-Stars,3rd,8,0,8,38,4,Jenna Lewis,
Rob Mariano,27,"Canton, MA",All-Stars,Runner-Up,10,5,15,39,1,Rob Mariano,
Amber Brkich,25,"Beaver, PA",All-Stars,Sole Survivor,10,2,12,39,6,Amber Brkich,
Brook Geraghty,27,"Winthrop, MA",Vanuatu,18th,0,N/A,0,3,5,Brook Geraghty,
Dolly Neely,25,"Mercer, PA",Vanuatu,17th,2,N/A,2,6,5,Dolly Neely,
John Palyok,31,"Los Angeles, CA",Vanuatu,16th,2,0,2,7,5,John Palyok,
Mia Galeotalanza,29,"Boston, MA",Vanuatu,15th,2,N/A,2,7,5,Mia Galeotalanza,
Brady Finta,33,"Huntington Beach, CA",Vanuatu,14th,2,0,2,10,6,Brady Finta,
Travis Sampson,33,"Johnson City, TN",Vanuatu,13th,2,0,2,12,6,Travis Sampson,
Lisa Keiffer,44,"Mandeville, LA",Vanuatu,12th,4,N/A,4,15,4,Lisa Keiffer,
John Kenney,22,"Los Angeles, CA",Vanuatu,11th,6,1,7,18,5,John Kenney,
Rory Freeman,35,"Des Moines, IA",Vanuatu,10th,4,0,4,21,14,Rory Freeman,
Lea Masters,40,"Columbia, SC",Vanuatu,9th,7,1,8,24,7,Lea Masters,
Chad Crittenden,34,"Oakland, CA",Vanuatu,8th,7,1,8,27,7,Chad Crittenden,
Leann Slaby,35,"Kansasville, WI",Vanuatu,7th,6,1,7,30,8,Leann Slaby,
Ami Cusack,31,"Lakewood, CO",Vanuatu,6th,6,4,10,33,8,Ami Cusack,
Julie Berry,23,"Gorham, ME",Vanuatu,5th,9,1,10,36,4,Julie Berry,
Eliza Orlins,21,"Syracuse, NY",Vanuatu,4th,6,4,10,37,9,Eliza Orlins,
Scout Cloud Lee,59,"Stillwater, OK",Vanuatu,3rd,6,0,6,38,3,Scout Cloud Lee,
Twila Tanner,41,"Marshall, MO",Vanuatu,Runner-Up,9,1,10,39,6,Twila Tanner,
Chris Daugherty,33,"South Vienna, OH",Vanuatu,Sole Survivor,7,5,12,39,3,Chris Daugherty,
Jonathan Libby,23,"Dallas, TX",Palau,20th,N/A,0,0,2,N/A,Jonathan Libby,
Wanda Shirk,55,"Ulysses, PA",Palau,19th,N/A,0,0,2,N/A,Wanda Shirk,
Jolanda Jones,38,"Houston, TX",Palau,18th,0,1,1,3,6,Jolanda Jones,
Ashlee Ashby,22,"Easley, SC",Palau,17th,1,0,1,6,6,Ashlee Ashby,
Jeff Wilson,21,"Ventura, CA",Palau,16th,2,0,2,8,5,Jeff Wilson,
Kim Mullen,25,"Huber Heights, OH",Palau,15th,2,0,2,11,8,Kim Mullen,
Willard Smith,56,"Bellevue, WA",Palau,14th,6,0,6,12,8,Willard Smith,
Angie Jakusz,24,"New Orleans, LA",Palau,13th,2,0,2,12,8,Angie Jakusz,
James Miller,33,"Mobile, AL",Palau,12th,3,0,3,15,7,James Miller,
Ibrehem Rahman,27,"Birmingham, AL",Palau,11th,3,0,3,18,4,Ibrehem Rahman,
Bobby Jon Drinkard,27,"Los Angeles, CA",Palau,10th,3,0,3,21,2,Bobby Jon Drinkard,
Coby Archa,32,"Athens, TX",Palau,9th,11,0,11,24,7,Coby Archa,
Janu Tornell,39,"Las Vegas, NV",Palau,8th,11,1,12,27,1,Janu Tornell,
Stephenie LaGrossa,24,"Tom's River, NJ",Palau,7th,3,0,3,30,8,Stephenie LaGrossa,
Gregg Carey,27,"Chicago, IL",Palau,6th,11,2,13,33,4,Gregg Carey,
Caryn Groedel,46,"Solon, OH",Palau,5th,11,1,12,36,7,Caryn Groedel,
Jenn Lyon,32,"Encino, CA",Palau,4th,11,0,11,37,3,Jenn Lyon,
Ian Rosenberger,23,"Ambridge, PA",Palau,3rd,11,4,15,38,5,Ian Rosenberger,
Katie Gallagher,29,"Merced, CA",Palau,Runner-Up,11,0,11,39,1,Katie Gallagher,
Tom Westman,40,"Sayville, NY",Palau,Sole Survivor,11,6,17,39,0,Tom Westman,
Jim Lynch,63,"Northglenn, CO",Guatemala,18th,1,N/A,1,3,8,Jim Lynch,
Morgan McDevitt,21,"Decatur, IL",Guatemala,17th,1,N/A,1,6,8,Morgan McDevitt,
Brianna Varela,21,"Edmonds, WA",Guatemala,16th,1,N/A,1,8,7,Brianna Varela,
Brooke Struck,25,"Hood River, OR",Guatemala,15th,5,N/A,5,11,5,Brooke Struck,
Blake Towsley,24,"Dallas, TX",Guatemala,14th,7,N/A,7,14,5,Blake Towsley,
Margaret Bobonich,43,"Chardon, OH",Guatemala,13th,7,0,7,15,7,Margaret Bobonich,
Brian Corridan,22,"New York City, NY",Guatemala,12th,3,N/A,3,15,7,Brian Corridan,
Amy O'Hara,39,"Revere, MA",Guatemala,11th,4,N/A,4,18,4,Amy O'Hara,
Brandon Bellinger,22,"Manhattan, KS",Guatemala,10th,8,0,8,21,6,Brandon Bellinger,
Bobby Jon Drinkard,28,"Los Angeles, CA",Guatemala,9th,8,0,8,24,8,Bobby Jon Drinkard,
Jamie Newton,24,"North Hollywood, CA",Guatemala,8th,4,1,5,27,10,Jamie Newton,
Gary Hogeboom,46,"Grand Haven, MI",Guatemala,7th,4,2,6,30,8,Gary Hogeboom,
Judd Sergeant,34,"Ridgefield, NJ",Guatemala,6th,8,2,10,33,5,Judd Sergeant,
Cindy Hall,31,"Naples, FL",Guatemala,5th,8,2,10,36,6,Cindy Hall,
Lydia Morales,42,"Lakewood, WA",Guatemala,4th,4,0,4,37,10,Lydia Morales,
Rafe Judkins,22,"Providence, RI",Guatemala,3rd,4,4,8,38,2,Rafe Judkins,
Stephenie LaGrossa,25,"Tom's River, NJ",Guatemala,Runner-Up,4,2,6,39,2,Stephenie LaGrossa,
Danni Boatwright,30,"Tonganozie, KS",Guatemala,Sole Survivor,8,3,11,39,1,Danni Boatwright,
Tina Scheer,44,"Hayward, WI",Panama,16th,1,N/A,1,3,3,Tina Scheer,
Melinda Hyder,32,"Sevierville, TN",Panama,15th,1,N/A,1,6,5,Melinda Hyder,
Misty Giles,24,"Dallas, TX",Panama,14th,4,N/A,4,8,5,Misty Giles,
Ruth-Marie Milliman,48,"Greenville, SC",Panama,13th,4,N/A,4,11,6,Ruth-Marie Milliman,
Bobby Mason,32,"Los Angeles, CA",Panama,12th,6,N/A,6,14,3,Bobby Mason,
Dan Barry,51,"South Hadley, MA",Panama,11th,6,N/A,6,15,3,Dan Barry,
Nick Stanbury,25,"Tempe, AZ",Panama,10th,6,0,6,18,6,Nick Stanbury,
Austin Carty,24,"High Point, NC",Panama,9th,6,0,6,21,7,Austin Carty,
Sally Schumann,27,"Chicago, IL",Panama,8th,5,2,7,24,8,Sally Schumann,
Bruce Kanegai,57,"Simi Valley, CA",Panama,7th,7,2,9,25,2,Bruce Kanegai,
Courtney Marit,31,"Los Angeles, CA",Panama,6th,6,2,8,30,4,Courtney Marit,
Shane Powers,34,"Los Angeles, CA",Panama,5th,7,0,7,33,9,Shane Powers,
Cirie Fields,35,"Walterboro, SC",Panama,4th,6,1,7,36,3,Cirie Fields,
Terry Deitz,46,"Simsbury, CT",Panama,3rd,6,9,15,38,1,Terry Deitz,
Danielle DiLorenzo,24,"Pompano Beach, FL",Panama,Runner-Up,6,2,8,39,4,Danielle DiLorenzo,
Aras Baskauskas,24,"Santa Monica, CA",Panama,Sole Survivor,7,3,10,39,9,Aras Baskauskas,
Sekou Bunch,45,"Los Angeles, CA",Cook Islands,20th,0,N/A,0,3,3,Sekou Bunch,
Billy Garcia,36,"New York City, NY",Cook Islands,19th,1,N/A,1,6,4,Billy Garcia,
Cecilia Mansilla,29,"Oakland, CA",Cook Islands,18th,1,N/A,1,8,5,Cecilia Mansilla,
J.P. Calderon,30,"Long Beach, CA",Cook Islands,17th,2,N/A,2,11,7,J.P. Calderon,
Stephannie Favor,35,"Columbia, SC",Cook Islands,16th,3,N/A,3,14,9,Stephannie Favor,
Cao Boi Bui,42,"Christiansburg, VA",Cook Islands,15th,6,N/A,6,15,6,Cao Boi Bui,
Cristina Coria,35,"Los Angeles, CA",Cook Islands,14th,3,N/A,3,15,5,Cristina Coria,
Jessica Smith,27,"Chico, CA",Cook Islands,13th,7,N/A,7,18,6,Jessica Smith,
Brad Virata,29,"Santa Monica, CA",Cook Islands,12th,5,N/A,5,21,7,Brad Virata,
Rebecca Borman,34,"Laurelton, NY",Cook Islands,11th,4,N/A,4,24,6,Rebecca Borman,
Jenny Guzon-Bae,36,"Lake Forest, IL",Cook Islands,10th,5,N/A,5,24,6,Jenny Guzon-Bae,
Nate Gonzalez,26,"Play del Rey, CA",Cook Islands,9th,4,0,4,27,5,Nate Gonzalez,
Candice Woodcock,23,"Washington, D.C.",Cook Islands,8th,7,0,7,30,6,Candice Woodcock,
Jonathan Penner,44,"Los Angeles, CA",Cook Islands,7th,7,0,7,33,15,Jonathan Penner,
Parvati Shallow,23,"West Hollywood, CA",Cook Islands,6th,5,2,7,36,4,Parvati Shallow,
Adam Gentry,28,"San Diego, CA",Cook Islands,5th,5,1,6,37,5,Adam Gentry,
Sundra Oakley,31,"Los Angeles, CA",Cook Islands,4th,10,0,10,38,6,Sundra Oakley,
Becky Lee,28,"Washington, D.C.",Cook Islands,2nd Runner-Up,11,0,11,39,5,Becky Lee,
Ozzy Lusth,25,"Venice, CA",Cook Islands,Runner-Up,10,6,16,39,1,Ozzy Lusth,
Yul Kwon,31,"San Mateo, CA",Cook Islands,Sole Survivor,11,1,12,39,5,Yul Kwon,
Jessica deBen,27,"Los Angeles, CA",Fiji,19th,0,N/A,0,3,6,Jessica deBen,
Erica Durousseau,27,"Baton Rouge, LA",Fiji,18th,0,N/A,0,6,6,Erica Durousseau,
Sylvia Kwan,52,"Ross, CA",Fiji,17th,0,N/A,0,8,6,Sylvia Kwan,
Gary Stritesky,55,"Ramsey, MN",Fiji,16th,5,N/A,5,10,N/A,Gary Stritesky,
Liliana Gomez,25,"Los Angeles, CA",Fiji,15th,6,N/A,6,11,6,Liliana Gomez,
Rita Verreos,38,"San Antonio, TX",Fiji,14th,0,N/A,0,14,6,Rita Verreos,
Anthony Robinson,32,"Compton, CA",Fiji,13th,0,N/A,0,16,10,Anthony Robinson,
Rocky Reid,28,"Los Angeles, CA",Fiji,12th,1,N/A,1,19,5,Rocky Reid,
Lisi Linares,36,"Los Angeles, CA",Fiji,11th,9,N/A,9,21,7,Lisi Linares,
Michelle Yi,23,"Cincinnati, OH",Fiji,10th,4,0,4,24,3,Michelle Yi,
Edgardo Rivera,28,"Miami Beach, FL",Fiji,9th,9,1,10,27,5,Edgardo Rivera,
Mookie Lee,25,"Chicago, IL",Fiji,8th,1,0,1,30,6,Mookie Lee,
Alex Angarita,28,"Los Angeles, CA",Fiji,7th,9,1,10,33,9,Alex Angarita,
Stacy Kimball,27,"Boulder, CO",Fiji,6th,12,3,15,36,4,Stacy Kimball,
Boo Bernis,34,"Lafayette, LA",Fiji,5th,12,5,17,37,5,Boo Bernis,
Yau-Man Chan,54,"Martinez, CA",Fiji,4th,4,5,9,38,9,Yau-Man Chan,
Cassandra Franklin,42,"Los Angeles, CA",Fiji,Co-Runner-Up,12,2,14,39,5,Cassandra Franklin,
Dreamz Herd,25,"Wilmington, NC",Fiji,Co-Runner-Up,9,3,12,39,2,Dreamz Herd,
Earl Cole,35,"Santa Monica, CA",Fiji,Sole Survivor,4,2,6,39,1,Earl Cole,
Chicken Morris,47,"Marion, VA",China,16th,0,N/A,0,3,5,Chicken Morris,
Ashley Massaro,28,"East Northport, NY",China,15th,0,N/A,0,6,8,Ashley Massaro,
Leslie Nease,38,"Tega Cay, SC",China,14th,3,N/A,3,9,6,Leslie Nease,
Dave Cruser,37,"Simi Valley, CA",China,13th,2,N/A,2,12,6,Dave Cruser,
Aaron Reisberger,32,"Venice, CA",China,12th,5,N/A,5,15,3,Aaron Reisberger,
Sherea Lloyd,26,"Atlanta, GA",China,11th,4,N/A,4,18,6,Sherea Lloyd,
Jaime Dugan,22,"Columbia, SC",China,10th,3,0,3,21,7,Jaime Dugan,
Jean-Robert Bellande,36,"Las Vegas, NV",China,9th,7,1,8,24,12,Jean-Robert Bellande,
Frosti Zernow,20,"Chicago, IL",China,8th,4,2,6,27,7,Frosti Zernow,
James Clement,30,"Lafayette, LA",China,7th,6,1,7,30,9,James Clement,
Erik Huffman,26,"Nashville, TN",China,6th,3,2,5,33,5,Erik Huffman,
Peih-Gee Law,29,"Marina del Rey, CA",China,5th,3,3,6,36,8,Peih-Gee Law,
Denise Martin,40,"Douglas, MA",China,4th,7,2,9,38,3,Denise Martin,
Amanda Kimmel,22,"Los Angeles, CA",China,2nd Runner-Up,7,5,12,39,0,Amanda Kimmel,
Courtney Yates,26,"New York City, NY",China,Runner-Up,7,2,9,39,0,Courtney Yates,
Todd Herzog,22,"Pleasant Grove, UT",China,Sole Survivor,7,1,8,39,5,Todd Herzog,
Jon Dalton,33,"Los Angeles, CA",Micronesia,20th,0,0,0,3,9,Jon Dalton,
Mary Sartain,29,"Emeryville, CA",Micronesia,19th,1,0,1,6,6,Mary Sartain,
Yau-Man Chan,55,"Martinez, CA",Micronesia,18th,2,1,3,8,6,Yau-Man Chan,
Mikey Bortone,34,"Los Angeles, CA",Micronesia,17th,2,0,2,11,6,Mikey Bortone,
Joel Anderson,32,"Avondale, AZ",Micronesia,16th,2,0,2,14,6,Joel Anderson,
Jonathan Penner,45,"Los Angeles, CA",Micronesia,15th,7,0,7,15,0,Jonathan Penner,
Chet Welch,48,"Ford City, PA",Micronesia,14th,2,0,2,17,12,Chet Welch,
Kathy Sleckman,45,"Glen Ellyn, IL",Micronesia,13th,6,1,7,19,0,Kathy Sleckman,
Tracy Hughes-Wolf,43,"Fredericksburg, VA",Micronesia,12th,3,0,3,20,7,Tracy Hughes-Wolf,
Ami Cusack,34,"Golden, CO",Micronesia,11th,5,0,5,21,4,Ami Cusack,
Eliza Orlins,25,"Manhattan, NY",Micronesia,10th,10,0,10,24,8,Eliza Orlins,
Ozzy Lusth,26,"Venice, CA",Micronesia,9th,5,1,6,27,9,Ozzy Lusth,
Jason Siska,22,"Fox River Grove, IL",Micronesia,8th,8,2,10,30,8,Jason Siska,
James Clement,30,"Lafayette, LA",Micronesia,7th,10,0,10,31,3,James Clement,
Alexis Jones,24,"Beverly Hills, CA",Micronesia,6th,8,1,9,33,2,Alexis Jones,
Erik Reichenbach,22,"Ypsilanti, MI",Micronesia,5th,3,5,8,36,7,Erik Reichenbach,
Natalie Bolton,32,"West Hollywood, CA",Micronesia,4th,8,0,8,37,3,Natalie Bolton,
